route,flights,delayed,severity,cancelled,cascade,distance,z_delayed,z_severity,z_cancelled,z_cascade,score,origin,dest,origin_lat,origin_lon,dest_lat,dest_lon
AMA-DFW,2419,0.17504258943781942,14.415247018739352,0.025217031831335262,31.282238442822383,312.0,-0.9099150450222996,-0.539918925982762,0.48241604298257984,0.25720087283871823,-0.17755426379594086,AMA,DFW,35.217857,-101.706444,32.896801,-97.038002
ANC-FAI,1185,0.11935208866155157,8.306052855924978,0.010126582278481013,20.37142857142857,261.0,-1.893692816506938,-1.5382684926411951,-0.6448893565003593,-0.7982287483642811,-1.2187698535031934,ANC,FAI,61.179004,-149.992561,64.815102,-147.856003
ANC-JNU,1228,0.1390946502057613,9.246913580246913,0.0024429967426710096,14.183431952662723,571.0,-1.5449386676191683,-1.3845153344701633,-1.2188780525673575,-1.3968089641622465,-1.3862852547047337,ANC,JNU,61.179004,-149.992561,58.354935,-134.574416
ANC-PDX,1038,0.10115606936416185,8.398843930635838,0.0,16.02857142857143,1542.0,-2.2151271556627794,-1.5231048021840758,-1.4013778123847422,-1.2183240596428488,-1.5894834574686116,ANC,PDX,61.179004,-149.992561,45.588699,-122.598
ANC-SEA,6833,0.16177777777777777,11.329481481481482,0.011122493780184399,23.186813186813186,1448.0,-1.1442391518660333,-1.0441871821273208,-0.5704915455309015,-0.5258896320951286,-0.821201877904846,ANC,SEA,61.179004,-149.992561,47.447943,-122.310276
ASE-DEN,2704,0.28610567514677104,27.787475538160468,0.053994082840236685,20.969904240766073,125.0,1.052024485597272,1.6453379494463671,2.632154847642289,-0.7403367168438564,1.1472951414605181,ASE,DEN,39.223202,-106.869003,39.860027,-104.673792
ASE-DFW,1185,0.372330547818013,43.51346332404828,0.08523206751054853,15.389027431421447,701.0,2.5751947193116944,4.215240406775411,4.965733357975482,-1.2801887320742116,2.618994937997094,ASE,DFW,39.223202,-106.869003,32.896801,-97.038002
ASE-LAX,1267,0.2805084745762712,34.82627118644068,0.06629834254143646,14.220543806646525,737.0,0.9531494274267519,2.795600717002693,3.551322851830694,-1.3932190427490838,1.476713488377764,ASE,LAX,39.223202,-106.869003,33.942501,-118.407997
ASE-ORD,1017,0.39361702127659576,39.62234042553192,0.06686332350049164,24.61081081081081,1013.0,2.9512222128690047,3.5793626206028857,3.5935287571960166,-0.38814282039142584,2.43399269256912,ASE,ORD,39.223202,-106.869003,41.9786,-87.9048
ATL-ALB,1045,0.26005888125613347,18.853778213935232,0.019138755980861243,16.88679245283019,853.0,0.5919054977829131,0.1854149850419915,0.028349173616842804,-1.1353062175927644,-0.08240914028775426,ATL,ALB,33.6367,-84.428101,42.748299,-73.801697
